"CRN","MC_BAG_IND","MC_DVR_BOOTS_IND","MC_DVR_EDC_IND","MC_DVR_EYEPRT_IND","MC_DVR_HLMTDOT_IND","MC_DVR_HLMTON_IND","MC_DVR_HLMT_TYPE","MC_DVR_LNGPNTS_IND","MC_DVR_LNGSLV_IND","MC_ENGINE_SIZE","MC_PASSNGR_IND","MC_PAS_BOOTS_IND","MC_PAS_EYEPRT_IND","MC_PAS_HLMTDOT_IND","MC_PAS_HLMTON_IND","MC_PAS_HLMT_TYPE","MC_PAS_LNGPNTS_IND","MC_PAS_LNGSLV_IND","MC_TRAIL_IND","PC_HDLGHT_IND","PC_HLMT_IND","PC_PASSNGR_IND","PC_REAR_RFLTR_IND","UNIT_NUM"
"2005006108","U","U","U","N","N","N","0","U","U","99999","N","","","","","","","","N","","","","","1"
"2005011693","","","","","","","","","","","","","","","","","","","","U","U","N","U","2"
"2005011706","","","","","","","","","","","","","","","","","","","","U","U","N","U","1"
"2005014471","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2005016040","U","U","U","U","U","U","9","U","U","99999","N","","","","","","","","U","","","","","2"
"2005024556","U","U","U","N","","","0","U","U","99999","N","","","","","","","","U","","","","","1"
"2005024898","U","U","U","N","","","0","U","U","99999","N","","","","","","","","U","","","","","1"
"2005025099","","","","","","","","","","","","","","","","","","","","U","N","N","U","3"
"2005025603","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2005026426","","","","","","","","","","","","","","","","","","","","U","Y","U","U","2"
"2004039411","","","","","","","","","","","","","","","","","","","","U","U","N","U","2"
"2004048660","U","U","U","U","","","0","U","U","99999","N","","","","","","","","U","","","","","1"
"2004048678","U","U","U","U","U","U","1","U","U","99999","N","","","","","","","","N","","","","","2"
"2004054742","N","U","N","N","","","0","U","U","99999","N","","","","","","","","N","","","","","1"
"2004054742","U","U","U","N","","","0","U","U","99999","N","","","","","","","","U","","","","","2"
"2004056233","U","U","U","N","","","0","U","U","99999","N","","","","","","","","U","","","","","1"
"2005029355","N","N","U","N","U","N","1","Y","Y","00600","U","","","","","","","","N","","","","","1"
"2005030239","","","","","","","","","","","","","","","","","","","","U","U","N","U","1"
"2005031140","U","U","U","U","U","U","1","U","U","99999","N","","","","","","","","U","","","","","1"
"2005031774","","","","","","","","","","","","","","","","","","","","U","U","U","U","2"
"2005032766","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2005032783","U","U","U","U","U","U","9","U","U","99999","U","","","","","","","","U","","","","","1"
"2005035130","U","U","U","U","U","U","9","U","U","99999","N","","","","","","","","U","","","","","1"
"2005043262","U","U","U","U","U","U","9","U","U","99999","N","","","","","","","","N","","","","","1"
"2005043263","","","","","","","","","","","","","","","","","","","","U","U","N","U","2"
"2005043919","U","U","U","U","U","U","9","U","U","99999","N","","","","","","","","N","","","","","1"
"2005043949","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2005047658","","","","","","","","","","","","","","","","","","","","U","U","N","U","2"
"2005053265","","","","","","","","","","","","","","","","","","","","U","N","U","U","2"
"2005054633","U","U","U","U","U","U","9","U","U","99999","N","","","","","","","","U","","","","","1"
"2005056004","","","","","","","","","","","","","","","","","","","","U","U","N","U","2"
"2005057240","","","","","","","","","","","","","","","","","","","","N","N","N","Y","2"
"2005057348","","","","","","","","","","","","","","","","","","","","U","U","N","U","2"
"2005057382","","","","","","","","","","","","","","","","","","","","U","U","N","U","2"
"2004078075","U","U","U","Y","","","0","U","U","99999","Y","U","N","","","0","U","U","U","","","","","1"
"2004081309","U","U","U","U","","","0","U","U","99999","N","","","","","","","","U","","","","","1"
"2004081448","","","","","","","","","","","","","","","","","","","","U","U","N","U","1"
