"AVOID_MAN_CD","BODY_TYPE","COMM_VEH","CRN","DAMAGE_IND","DVR_PRES_IND","EMERG_VEH_USE_CD","GRADE","IMPACT_POINT","INS_IND","MAKE_CD","MODEL_YR","OWNER_DRIVER","PEOPLE_IN_UNIT","PRIN_IMP_PT","RDWY_ALIGNMENT","SPECIAL_USAGE","TRAVEL_DIRECTION","TRAVEL_SPD","TRL_VEH_CNT","UNDER_RIDE_IND","UNIT_NUM","UNIT_TYPE","VEH_COLOR_CD","VEH_MOVEMENT","VEH_POSITION","VEH_REG_STATE","VEH_ROLE","VEH_TYPE","PARTIAL_VIN","VINA_BODY_TYPE_CD"
"","51","N","2015009631","2","1","","1","06","Y","DODG","2001","01","1","","1","00","N","999","0","","2","01","07","15","06","PA","2","04","3B7HF13Z21G","T4C"
"","02","N","2015031583","3","1","","1","01","Y","PONT","2000","01","1","","1","00","E","025","0","","2","01","03","01","03","PA","2","01","1G2WR1219YF","PCP"
"","12","N","2015015571","3","1","","3","02","Y","TOYT","2008","01","1","","3","00","W","030","0","","1","01","08","17","01","PA","1","07","5TDZK23C18S","PSV"
"","04","N","2015006140","3","1","","1","12","Y","HYUN","2010","02","1","","1","00","N","999","0","","1","01","07","01","01","PA","1","01","KMHDU4AD4AU","P4D"
"","04","N","2015022057","2","1","","1","06","Y","HYUN","2003","01","1","","1","00","N","000","0","","2","01","05","03","06","PA","2","01","KMHDN45D03U","P4D"
"","15","N","2015001662","3","1","","1","00","Y","STRN","2007","02","3","","1","00","N","065","0","","1","01","01","01","06","PA","0","06","5GZCZ53437S","PUT"
"","15","N","2015006055","1","1","","1","01","Y","TOYT","2009","01","1","","1","00","S","999","0","","2","01","02","01","06","PA","2","06","JTEBU14R29K","PUT"
"","15","N","2015015578","1","1","","1","03","Y","MRCU","2008","02","1","","1","00","S","010","","","1","01","05","01","01","PA","1","06","4M2EU47E38U","PUT"
"","15","N","2015015632","3","1","","1","12","Y","TOYT","1995","01","1","","1","00","W","999","0","","1","01","03","01","01","PA","1","06","JT3VN39W4S0","PUT"
"","75","Y","2015036553","1","1","","1","15","Y","FRHT","2015","02","1","","1","21","S","999","1","","1","01","03","12","04","IN","1","05","1FUJGEDV7FL","TTR"
"","04","N","2015036748","2","1","","1","12","Y","NISS","2014","02","1","","1","00","W","020","0","","3","01","07","01","03","PA","3","01","1N4AL3AP1EC","P4D"
"","04","N","2015010689","3","3","","3","06","U","NISS","2008","99","1","","1","00","E","000","0","","2","01","03","03","03","PA","3","01","1N4BA41E78C","P4D"
"","15","N","2015012343","9","1","","1","09","N","CHEV","2000","01","1","","1","00","S","999","0","","2","01","12","01","01","NH","3","06","1GNDT13W8Y2","PUT"
"","15","N","2015012358","3","1","","1","15","Y","FORD","2002","01","1","","1","00","E","999","1","","1","01","06","01","01","NJ","1","06","1FMYU01172K","PUT"
"","04","N","2015012369","3","1","","1","12","Y","KIA","2013","01","1","","1","00","S","999","","","1","01","12","02","01","PA","1","01","KNAFU4A24D5","P4D"
"","04","N","2015012306","1","1","","1","06","Y","NISS","2001","01","1","","1","00","N","999","","","2","01","08","01","03","PA","2","01","1N4DL01D91C","P4D"
"","","","2015012325","","","","","","","","","","1","","","","","","","","2","31","","","","","2","","",""
"","15","N","2015012330","2","1","","1","06","Y","NISS","2011","01","1","","1","00","S","000","","","2","01","03","03","01","PA","3","06","JN8AS5MV2BW","PUT"
"","79","Y","2015018204","3","1","","1","01","U","OTHR","1999","01","1","","1","21","N","999","1","","1","01","02","01","06","NJ","1","05","2HSFHAMR8XC",""
"","04","N","2015018278","2","1","","3","03","Y","KIA","2013","01","1","","1","00","S","999","0","","3","01","05","01","03","NC","1","01","5XXGM4A77DG","P4D"
"","03","N","2015011934","3","1","","1","05","Y","OTHR","2009","01","1","","1","00","N","030","0","","2","01","02","01","03","DE","3","01","WMWMF33509T","P2H"
"","01","N","2015035302","3","1","","1","12","Y","MERZ","2011","01","1","","1","00","E","015","0","","1","01","03","01","01","PA","1","01","WDBWK5EA4BF","PCV"
"","","","2015017930","","","","","","","","","","1","","","","","","","","2","31","","","","","2","","",""
"","04","N","2015020877","2","1","","1","06","Y","FORD","2005","01","1","","1","00","S","000","0","","2","01","08","03","13","PA","2","01","1FAFP241X5G","P4D"
"","04","N","2015020800","1","1","","1","99","U","MITS","2015","01","1","","1","00","S","999","0","","2","01","07","01","01","PA","2","01","JA32U2FU3FU","P4D"
"","","","2015006623","","","","","","","","","","1","","","","","","","","2","31","","","","","2","","",""
"","04","N","2015009664","3","1","","1","07","Y","CHRY","2013","01","1","","1","00","N","999","","","2","01","05","01","13","PA","2","01","2C3CCAAG6DH","P4D"
"","15","N","2015015150","2","1","","1","01","Y","KIA","2012","02","1","","3","00","N","070","0","","1","01","05","17","06","PA","1","01","KNDPB3A23C7","PUT"
"","15","N","2015009633","1","1","","1","05","Y","BMW","2008","02","2","","1","00","N","000","0","","2","01","03","03","13","PA","2","06","WBXPC93428W","PUT"
"","09","N","2015009643","9","1","","1","12","U","UNKN","9999","99","1","","1","99","N","999","","","1","01","03","10","13","ZZ","1","01","99999999999",""
"","04","N","2015009654","3","1","","1","12","Y","DODG","2006","01","2","","1","00","E","999","","","2","01","07","01","01","PA","2","01","2B3KA53H56H","P4D"
"","04","N","2015009573","3","3","","1","12","Y","NISS","2013","99","1","","1","00","W","025","0","","1","01","05","01","01","PA","1","01","3N1AB7AP8DL","P4D"
"","","N","2015009607","","","","","","","","","","1","","","","","","","","2","31","","","","","2","","",""
"","12","N","2015015567","1","1","","1","12","Y","HOND","1995","02","1","","1","00","E","999","","","1","01","04","12","01","PA","1","07","JHMRA1845SC","PSV"
"","41","N","2015015560","2","2","","1","07","Y","CHRY","2006","","1","","1","00","W","000","0","","2","02","05","06","13","PA","2","07","2A4GP54L76R","TES"
"","04","N","2015021889","0","1","","3","02","Y","NISS","2008","01","1","","1","00","E","999","","","1","01","03","01","01","PA","1","01","3N1AB61E58L","P4D"
"","","","2015015580","","","","","","","","","","1","","","","","","","","2","31","","","","","2","","",""
"","05","N","2015021441","2","1","","1","05","Y","VOLK","2013","01","1","","1","00","S","040","0","","2","01","05","01","06","PA","2","01","WVWDM7AJ6DW","P4H"
"","04","N","2015023654","0","1","","1","01","Y","MRCU","2008","01","1","","1","00","E","005","","","1","01","05","01","01","PA","1","01","3MEHM08Z78R","P4D"
"0","04","N","2015006082","1","1","0","1","12","Y","TOYT","2003","01","1","12","1","00","E","999","","0","1","01","08","01","01","PA","1","01","4T1BE30K13U","P4D"
"","02","N","2015033143","3","1","","1","03","Y","BMW","2002","02","1","","1","00","N","045","0","","1","01","07","15","01","PA","1","01","WBSBL93412J","PCP"
"","04","N","2015006149","3","1","","1","01","Y","TOYT","2003","01","1","","1","00","E","010","","","2","01","08","12","01","PA","2","01","4T1BE32K03U","P4D"
"","15","N","2015022391","2","1","","3","12","Y","FORD","2013","02","2","","1","00","N","000","0","","4","01","05","03","01","PA","2","06","1FM5K7D89DG","PUT"
"","51","N","2015033329","1","1","","1","12","Y","FORD","2006","01","2","","1","00","N","045","0","","1","01","12","01","06","PA","1","04","1FTSW215X6E","TCW"
"","15","N","2015030006","2","2","","1","09","Y","CHRY","2008","","0","","1","00","E","000","0","","4","02","07","06","01","PA","2","06","2A8GF78X28R","PUT"
"","15","N","2015032720","2","1","","1","12","Y","JEEP","2008","02","1","","1","00","N","055","0","","1","01","05","15","01","PA","1","06","1J8HR58268C","T4W"
"","02","N","2015025254","3","1","","1","06","Y","NISS","2012","01","1","","1","00","N","000","0","","2","01","05","03","06","PA","2","01","1N4AL2EP1CC","PCP"
