"CRN","RDWY_SEQ_NUM","ADJ_RDWY_SEQ","ROUTE","SEGMENT","OFFSET","RDWY_ORIENT","LANE_COUNT","SPEED_LIMIT","STREET_NAME","ROAD_OWNER","ACCESS_CTRL","RDWY_COUNTY"
"2016055415","3","3","0076","3421","1185","W","3","50","SCHUYLKILL EX","1","1","67"
"2016056009","3","3","1005","0120","2143","N","2","25","CASTOR AV","2","3","67"
"2016056013","3","3","0001","0300","586","N","3","45","ROOSEVELT BL","2","3","67"
"2016056017","3","3","1015","0050","1193","N","2","35","KNIGHTS RD","2","3","67"
"2016056020","4","3","","","","S","01","25","38TH PARALLEL PL","4","","67"
"2016056024","3","3","1001","0050","1182","S","02","35","RISING SUN AV","2","3","67"
"2016056027","3","3","0073","0041","1746","W","2","30","COTTMAN AV","2","3","67"
"2016056032","3","3","1018","0051","1623","W","02","45","GRANT AV","2","3","67"
"2016056039","4","4","","","","W","02","25","LOCUST ST","4","","67"
"2016056044","3","3","0001","0161","913","S","3","35","ROOSEVELT BL","2","3","67"
"2016056049","4","4","","","","E","01","25","JUNIATA ST","4","","67"
"2016056053","4","4","","","","N","01","25","DITMAN ST","4","","67"
"2016056058","4","5","","","","N","02","25","OGONTZ AV","4","","67"
"2016056060","7","7","","","","E","01","35","PASSYUNK AV","4","","67"
"2016056066","3","4","","","","W","01","25","BERMUDA ST","4","","67"
"2016056071","4","4","1018","0030","61","E","02","30","GRANT AV","2","3","67"
"2016056075","3","3","0001","0251","482","S","3","40","ROOSEVELT BL","2","3","67"
"2016056081","3","4","","","","N","02","25","BOYER ST","4","","67"
"2016056086","4","6","","","","W","02","25","BELFIELD AV","4","","67"
"2016056090","3","3","","","","S","02","25","2ND ST","4","","67"
"2016056094","6","6","3003","0061","0","S","2","25","THIRTYEIGHTH ST","2","3","67"
"2016055601","5","5","","","","W","01","25","RACE ST","4","","67"
"2016055606","5","4","","","","N","02","25","10TH ST","4","","67"
"2016055610","3","3","3009","0130","644","N","2","35","RIDGE AV","2","3","67"
"2016060495","3","3","0095","0264","1989","N","3","55","DELAWARE EX","1","1","67"
"2016060509","3","3","0095","0144","837","N","4","55","DELAWARE EX","1","1","67"
"2016058824","4","4","3095","0011","0","S","4","55","I-95 COLLECTOR RD","2","3","67"
"2016061667","4","4","","","","N","02","25","54TH ST","4","","67"
