"CRN","UNIT_NUM","TRL_SEQ_NUM","TRL_VEH_REG_STATE","TRL_VEH_TYPE_CD","TRL_VEH_TAG_NUM","TRL_VEH_TAG_YR"
"2020011784","1","0","OK","7","2WL698","2020"
"2020015605","1","0","MD","7","081513X","2020"
"2020023646","1","0","ME","7","245798E","2021"
"2020024125","2","0","IL","7","625669ST","2019"
"2020030710","2","0","ME","7","223189E","2022"
"2020031445","4","0","PA","3","XKL9068","2018"
"2020031503","1","0","OR","7","HV40231","2021"
"2020038351","2","0","NJ","7","TWE99T","2020"
"2020038726","1","0","ME","7","21TLR39005","2021"
"2020040155","2","0","IN","7","P52485","2020"
"2020042431","2","0","NJ","7","TWZ50V","2021"
"2020045215","1","0","ME","7","232984G","2023"
"2020060683","1","0","WI","7","685751","2021"
"2020083240","2","0","NJ","7","TAD96A","2024"
"2020089103","1","0","PA","3","XN27331","2022"
"2020105881","1","0","ZZ","3","999999999999","2000"
"2020016624","1","0","DE","7","T45560","2021"
"2020020070","2","0","IN","7","P624602","2020"
"2020022366","1","0","ME","7","23TLR97658","2020"
"2020023259","3","0","ZZ","7","999999999999","9999"
"2020032327","1","0","MX","7","2592966","2020"
"2020035275","3","0","NJ","7","TVJ23F","2020"
"2020043956","1","0","IN","7","P839280","2020"
"2020044235","1","0","IN","7","P953107","2020"
"2020054125","2","0","IN","7","P767033","2020"
"2020057204","2","0","IL","7","T518366","2020"
"2020061135","1","0","ZZ","7","99999999999","9999"
"2020070629","1","0","ME","7","2937134","2015"
"2020083791","2","0","IN","7","P840549","2020"
"2020089968","1","0","TN","7","T753793","2020"
"2020097741","1","0","ME","6","217860D","2021"
"2020105506","2","0","ME","7","22TLR58930","9999"
"2020109702","1","0","NJ","7","TVB87M","2022"
"2020004215","2","0","TN","7","T715779","2020"
"2020017414","2","0","PA","1","JXB7477","2020"
"2020027231","2","0","NJ","7","TVU79H","2020"
"2020027385","2","0","ZZ","7","999999999999","9999"
"2020032053","2","0","IL","7","477430ST","2020"
"2020037328","2","0","IL","7","T481130","9999"
"2020039871","2","0","VA","1","921595TL","2020"
"2020058848","1","0","ZZ","7","999999999999","2020"
"2020060194","1","0","ID","7","TL3459","2020"
"2020062830","1","0","IN","7","999999999999","2018"
"2020065189","2","0","NJ","7","TWC37D","2099"
"2020076740","1","0","IN","7","P736358","2020"
"2020080431","2","0","PA","1","HWZ8925","2018"
"2020090864","1","0","PA","9","MG5994L","2020"
"2020105500","2","0","PA","6","9896409","2021"
"2020110921","2","0","PA","7","YTB0735","2021"
"2020113051","2","0","PA","7","PT494G3","2021"
"2020037537","1","0","IL","7","695658ST","2020"
"2020039847","1","0","ZZ","7","999999999999","9999"
"2020046782","1","0","WI","7","T6248R","2020"
"2020059357","2","0","OK","6","9463L0","2020"
"2020059855","2","0","PA","3","XLG2175","2020"
"2020067666","2","0","IL","7","712481ST","2022"
"2020073377","1","0","NJ","6","TKN45F","2021"
"2020078619","3","0","TN","7","U742108","2018"
"2020084163","2","0","PA","7","999999999999","2020"
"2020087001","1","0","ME","7","2360833","2023"
"2020089268","2","0","TN","7","U722931","2013"
"2020096712","2","0","PA","7","XMB7564","2020"
"2020112977","2","0","IL","7","T489097","2013"
"2020008749","2","0","AZ","7","85611F","2020"
"2020010018","2","0","NJ","7","TPV63B","2020"
"2020018894","2","0","ZZ","7","9999999999","9999"
"2020028432","1","0","PA","3","PT256H5","2020"
"2020034046","2","0","ZZ","7","999999999999","9999"
"2020035441","2","0","NJ","7","TFT73P","1999"
"2020063233","1","0","NJ","7","TUK39U","2021"
"2020086807","1","0","DE","7","T5171","2021"
"2020089535","2","0","PA","3","PT095E3","2021"
"2020091254","2","0","PA","7","PT230C7","2020"
"2020091635","3","0","CA","7","HV20423","2018"
"2020094025","1","0","IL","7","T543199","2019"
"2020108031","2","0","IL","7","669762","2018"
"2020002460","1","0","ZZ","7","999999999999","9999"
"2020010544","2","0","OK","7","2883GU","2020"
"2020014641","2","0","PA","7","XLS5230","2020"
"2020019697","1","0","PA","7","XHS3518","2020"
"2020020021","1","0","ZZ","","",""
"2020020206","1","0","NJ","7","TDS14X","2020"
"2020020846","1","0","NJ","7","H38JVX","2020"
"2020028450","1","0","ME","7","2944821","2015"
"2020036591","1","0","IL","7","644359ST","2011"
"2020038930","1","0","ID","7","TN2192","2020"
"2020045265","2","0","SC","3","37924PT","2017"
"2020045321","2","0","FL","7","7086CL","2020"
"2020047383","2","0","TN","7","U541597","2022"
"2020053994","1","0","ZZ","7","999999999999","9999"
"2020059436","2","0","TN","7","015992T","2020"
"2020076753","2","0","PA","7","PT258113","2021"
"2020080640","1","0","ME","6","36TLR2755Z","2016"
"2020086213","2","0","LA","7","J722608","2019"
"2020089093","1","0","ME","7","2376306","2021"
"2020104796","2","0","PA","7","PT238J4","1999"
"2021004307","2","0","ME","7","245304F","2021"
"2020013218","1","0","ZZ","7","999999999999","9999"
"2020018878","2","0","PA","1","BA69023","2020"
"2020019627","3","0","OR","7","HV28184","2019"
"2020050262","2","0","ZZ","7","999999999999","9999"
"2020058955","2","0","PA","7","XJE4554","2020"
"2020076584","2","0","ME","7","2568949","2025"
"2020077878","1","0","PA","6","XLN8737","2019"
"2020094376","1","0","PA","7","PT963J7","2020"
"2020097413","1","0","TN","7","U356742","2020"
"2020097733","2","0","ME","7","244052Z","2020"
"2020103832","2","0","PA","7","PT172E7","2021"
"2020108338","2","0","VA","7","386092TL","2099"
"2020109312","1","0","ME","7","2915349","2029"
"2020113988","2","0","IN","7","P783197","2020"
"2020005205","1","0","OH","7","N/A","2020"
"2020059430","1","0","OK","7","CC3992","2021"
"2020060502","4","0","MD","7","763084G","2000"
"2020060512","1","0","IL","7","698056ST","2020"
"2020076228","2","0","NC","7","AH12838","2020"
"2020077972","2","0","TN","7","U338156","2020"
"2020086178","1","0","PA","7","PT851B7","2020"
"2020089878","2","0","PA","7","PT9390K","2020"
"2020103321","1","0","CT","6","AZ84154","2020"
"2021006259","3","0","PA","7","PT605B9","2020"
"2020013767","2","0","PA","7","PT65762","2019"
"2020027259","1","0","PA","6","XLT3213","2025"
"2020027281","2","0","TN","7","T803983","2099"
"2020027443","1","0","PA","7","PT4287V","2020"
"2020028566","1","0","PA","7","AG38409","2016"
"2020034812","1","0","PA","8","LHL1939","2005"
"2020035014","1","0","PA","2","ZNY3794","2020"
"2020040493","1","0","MX","7","2470617","2023"
"2020041690","1","0","PA","7","PT6100V","2020"
"2020050079","1","0","NJ","7","TNH41B","2020"
"2020050507","2","0","OR","7","HU99967","2016"
"2020057749","2","0","IN","7","P854725","2021"
"2020058077","2","0","PA","7","PT0576T","2012"
"2020058961","1","0","VA","7","842938TL","2008"
"2020060632","1","0","ME","7","441504Z","2020"
"2020068439","2","0","PA","7","N/A","2020"
"2020069893","1","0","TN","7","U199504",""
"2020083791","1","0","TN","7","U960145","2018"
"2020109371","2","0","ME","7","2444196","2021"
"2020012435","2","0","ZZ","7","999999999999","9999"
"2020024410","2","0","PA","7","XKE2189","2020"
"2020031188","2","0","IN","7","P794401","2023"
"2020031281","2","0","ZZ","7","999999999999","9999"
"2020036586","1","0","TN","7","731385","2020"
"2020039828","1","0","FL","7","9177CJ","2012"
"2020047380","1","0","PA","7","1724STP","2021"
